Temperature,HeartRate,HRV,SleepIndex,Tindex
35.25,59.50,0.00,1,1
35.54,59.50,0.00,1,1
35.40,59.50,0.00,1,1
35.38,59.50,0.00,1,1
35.29,59.50,0.00,1,1
35.23,59.50,0.00,1,1
35.48,59.50,0.00,1,1
35.38,59.50,0.00,1,1
35.15,59.50,0.00,1,1
35.23,59.50,0.00,1,1
35.14,59.50,0.00,1,1
35.15,59.50,0.00,1,1
35.31,59.50,0.00,1,1
35.02,59.50,0.00,1,1
35.30,59.50,0.00,1,1
35.35,59.50,0.00,1,1
35.65,59.50,0.00,1,1
35.13,59.50,0.00,1,1
35.33,59.50,0.00,1,1
35.55,59.50,0.00,1,1
35.46,59.50,0.00,1,1
35.43,59.50,0.00,1,1
35.29,59.50,0.00,1,1
35.26,59.50,0.00,1,1
35.49,59.50,0.00,1,1
35.65,59.50,0.00,1,1
35.40,59.50,0.00,1,1
35.37,59.50,0.00,1,1
35.62,59.50,0.00,1,1
35.24,59.50,0.00,1,1
35.39,59.50,0.00,1,1
35.14,59.50,0.00,1,1
35.48,59.50,0.00,1,1
35.62,59.50,0.00,1,1
35.25,59.50,0.00,1,1
35.09,59.50,0.00,1,1
35.69,59.50,0.00,1,1
35.43,59.50,0.00,1,1
35.40,59.50,0.00,1,1
35.45,59.50,0.00,1,1
35.37,59.50,0.00,1,1
35.47,59.50,0.00,1,1
35.02,59.50,0.00,1,1
35.21,59.50,0.00,1,1
35.60,59.50,0.00,1,1
35.36,59.50,0.00,1,1
35.42,59.50,0.00,1,1
35.39,59.50,0.00,1,1
35.31,59.50,0.00,1,1
35.20,59.50,0.00,1,1
35.35,59.50,0.00,1,1
35.08,59.50,0.00,1,1
35.36,59.50,0.00,1,1
35.28,59.50,0.00,1,1
35.33,59.50,0.00,1,1
35.27,59.50,0.00,1,1
35.28,59.50,0.00,1,1
35.29,59.50,0.00,1,1
35.05,59.50,0.00,1,1
35.53,59.50,0.00,1,1
35.34,59.50,0.00,1,1
35.17,59.50,0.00,1,1
35.09,59.50,0.00,1,1
35.14,59.50,0.00,1,1
35.06,59.50,0.00,1,1
34.92,59.50,0.00,1,1
35.02,59.50,0.00,1,1
35.12,59.50,0.00,1,1
35.14,59.50,0.00,1,1
35.21,59.50,0.00,1,1
35.04,59.50,0.00,1,1
34.96,59.50,0.00,1,1
35.28,59.50,0.00,1,1
35.11,59.50,0.00,1,1
35.12,59.50,0.00,1,1
35.29,59.50,0.00,1,1
35.29,59.50,0.00,1,1
35.16,59.50,0.00,1,1
35.22,59.50,0.00,1,1
35.19,59.50,0.00,1,1
35.19,59.50,0.00,1,1
35.19,59.50,0.00,1,1
34.99,59.50,0.00,1,1
